"","Country.Region","Date","Cases","NewCases","Population","Density (P/km2)","Urban population","Recovered","Deaths","StillInfected","MortalityRate","MortalityRatePop","RecoveryRate","NewDeaths","t","PercentageOfPopulation","Country"
"1","Denmark",2020-02-26,0,0,5792202,137,88,0,0,0,NA,0,NA,0,0,0,"Denmark"
"2","Denmark",2020-02-27,1,1,5792202,137,88,0,0,1,0,0,0,0,1,1.72645912556226e-05,"Denmark"
"3","Denmark",2020-02-28,1,0,5792202,137,88,0,0,1,0,0,0,0,2,1.72645912556226e-05,"Denmark"
"4","Denmark",2020-02-29,3,2,5792202,137,88,0,0,3,0,0,0,0,3,5.17937737668679e-05,"Denmark"
"5","Denmark",2020-03-01,4,1,5792202,137,88,0,0,4,0,0,0,0,4,6.90583650224906e-05,"Denmark"
"6","Denmark",2020-03-02,4,0,5792202,137,88,0,0,4,0,0,0,0,5,6.90583650224906e-05,"Denmark"
"7","Denmark",2020-03-03,6,2,5792202,137,88,0,0,6,0,0,0,0,6,0.000103587547533736,"Denmark"
"8","Denmark",2020-03-04,11,5,5792202,137,88,0,0,11,0,0,0,0,7,0.000189910503811849,"Denmark"
"9","Denmark",2020-03-05,11,0,5792202,137,88,0,0,11,0,0,0,0,8,0.000189910503811849,"Denmark"
"10","Denmark",2020-03-06,24,13,5792202,137,88,1,0,23,0,0,4.16666666666667,0,9,0.000414350190134944,"Denmark"
"11","Denmark",2020-03-07,24,0,5792202,137,88,1,0,23,0,0,4.16666666666667,0,10,0.000414350190134944,"Denmark"
"12","Denmark",2020-03-08,37,13,5792202,137,88,1,0,36,0,0,2.7027027027027,0,11,0.000638789876458038,"Denmark"
"13","Denmark",2020-03-09,92,55,5792202,137,88,1,0,91,0,0,1.08695652173913,0,12,0.00158834239551728,"Denmark"
"14","Denmark",2020-03-10,264,172,5792202,137,88,1,0,263,0,0,0.378787878787879,0,13,0.00455785209148438,"Denmark"
